County,Crime
Canadian,15
Cleveland,58
Comanche,21
Cotton,2
Creek,57
Garfield,17
Grady,34
Le Flore,68
Lincoln,25
Logan,34
McClain,26
Oklahoma,32
Okmulgee,36
Osage,47
Pawnee,36
Rogers,89
Sequoyah,72
Tulsa,241
Wagoner,68
Adair,73
Alfalfa,3
Atoka,3
Beaver,0
Beckham,21
Blaine,2
Caddo,21
Carter,20
Cherokee,88
Choctaw,16
Cimarron,0
Coal,4
Craig,7
Custer,8
Delaware,47
Dewey,2
Ellis,4
Garvin,49
Grant,2
Harmon,0
Harper,0
Haskell,11
Hughes,12
Jackson,16
Jefferson,3
Johnston,12
Kay,36
Kingfisher,3
Kiowa,1
Latimer,8
Love,5
Major,3
Marshall,19
Mayes,28
McCurtain,25
McIntosh,47
Murray,10
Muskogee,66
Noble,6
Nowata,2
Okfuskee,19
Payne,46
Pittsburg,45
Pontotoc,24
Pottawatomie,56
Pushmataha,2
Roger Mills,8
Seminole,22
Stephens,10
Texas,9
Tillman,3
Washita,19
Woods,4
Woodward,14