County,Violent crime,"Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Asotin,16.0,0.0,3.0,,0.0,13.0,185.0,51.0,122.0,12.0,0.0
Benton,43.0,4.0,7.0,,4.0,28.0,486.0,186.0,259.0,41.0,7.0
Chelan,37.0,0.0,6.0,,1.0,30.0,428.0,162.0,233.0,33.0,0.0
Clark,298.0,1.0,39.0,,47.0,211.0,3083.0,792.0,1800.0,491.0,39.0
Columbia,0.0,0.0,0.0,,0.0,0.0,127.0,38.0,84.0,5.0,0.0
Cowlitz,69.0,0.0,29.0,,3.0,37.0,474.0,173.0,253.0,48.0,2.0
Douglas,19.0,0.0,6.0,,2.0,11.0,404.0,123.0,237.0,44.0,4.0
Franklin,23.0,0.0,3.0,,2.0,18.0,132.0,28.0,92.0,12.0,4.0
King,419.0,4.0,,87.0,121.0,207.0,5167.0,1971.0,2410.0,786.0,58.0
Kitsap,366.0,7.0,85.0,,31.0,243.0,3953.0,1023.0,2631.0,299.0,21.0
Pend Oreille,8.0,0.0,0.0,,1.0,7.0,377.0,134.0,215.0,28.0,2.0
Pierce,1084.0,12.0,93.0,,253.0,726.0,9188.0,3169.0,4785.0,1234.0,56.0
Skagit,108.0,1.0,29.0,,7.0,71.0,1221.0,480.0,663.0,78.0,9.0
Skamania,12.0,0.0,3.0,,3.0,6.0,109.0,26.0,72.0,11.0,1.0
Snohomish,438.0,2.0,,62.0,91.0,283.0,6897.0,2175.0,3551.0,1171.0,31.0
Spokane,172.0,1.0,,35.0,35.0,101.0,3712.0,971.0,2405.0,336.0,25.0
Stevens,35.0,1.0,14.0,,0.0,20.0,604.0,253.0,285.0,66.0,1.0
Thurston,225.0,2.0,29.0,,34.0,160.0,2564.0,1021.0,1333.0,210.0,5.0
Walla Walla,21.0,1.0,1.0,,0.0,19.0,343.0,100.0,222.0,21.0,3.0
Whatcom,126.0,1.0,27.0,,10.0,88.0,1215.0,469.0,676.0,70.0,11.0
Yakima,98.0,4.0,11.0,,12.0,71.0,1584.0,628.0,767.0,189.0,11.0
Adams,16.0,1.0,2.0,,1.0,12.0,285.0,120.0,134.0,31.0,10.0
Clallam,54.0,2.0,10.0,,6.0,36.0,734.0,268.0,425.0,41.0,1.0
Ferry,7.0,0.0,0.0,,0.0,7.0,30.0,15.0,14.0,1.0,0.0
Garfield,2.0,0.0,0.0,,0.0,2.0,38.0,9.0,26.0,3.0,0.0
Grant,103.0,1.0,9.0,,7.0,86.0,1302.0,362.0,768.0,172.0,14.0
Grays Harbor,55.0,0.0,4.0,,4.0,47.0,398.0,158.0,224.0,16.0,2.0
Island,41.0,0.0,9.0,,5.0,27.0,622.0,272.0,325.0,25.0,2.0
Jefferson,30.0,0.0,15.0,,1.0,14.0,407.0,155.0,232.0,20.0,2.0
Kittitas,11.0,0.0,2.0,,1.0,8.0,250.0,93.0,136.0,21.0,1.0
Klickitat,4.0,0.0,0.0,,1.0,3.0,92.0,44.0,38.0,10.0,0.0
Lewis,51.0,1.0,15.0,,4.0,31.0,582.0,260.0,283.0,39.0,6.0
Lincoln,7.0,0.0,3.0,,1.0,3.0,150.0,50.0,88.0,12.0,0.0
Mason,101.0,2.0,2.0,,11.0,86.0,1230.0,509.0,601.0,120.0,7.0
Okanogan,44.0,1.0,4.0,,4.0,35.0,323.0,106.0,191.0,26.0,2.0
Pacific,22.0,0.0,7.0,,1.0,14.0,271.0,129.0,125.0,17.0,1.0
San Juan,7.0,0.0,1.0,,0.0,6.0,157.0,39.0,115.0,3.0,1.0
Wahkiakum,1.0,0.0,0.0,,0.0,1.0,36.0,15.0,20.0,1.0,0.0
Whitman,3.0,0.0,0.0,,0.0,3.0,62.0,26.0,31.0,5.0,2.0