,County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Forcible 
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson1
,Asotin,18,0,0,0,18,215,45,160,10,0
,Benton,64,0,10,8,46,645,231,350,64,6
,Chelan,36,3,8,3,22,667,189,432,46,2
,Clark,248,2,48,65,133,"3,853",924,"2,525",404,27
,Cowlitz,78,1,36,4,37,501,189,275,37,11
,Douglas,22,1,7,1,13,399,131,239,29,0
,Franklin,24,0,4,2,18,168,53,102,13,3
,King,430,5,85,127,213,"5,573","2,200","2,749",624,82
,Kitsap,441,2,64,52,323,"4,000","1,312","2,387",301,13
,Pierce,919,10,88,218,603,"9,585","3,132","5,341","1,112",48
,Skamania,10,0,2,0,8,214,52,151,11,0
,Spokane,132,3,16,30,83,"3,912","1,189","2,439",284,16
,Thurston,294,3,32,24,235,"2,726","1,086","1,502",138,18
,Whatcom,132,0,38,7,87,"1,339",485,789,65,12
,Yakima,133,7,27,25,74,"2,290",999,995,296,31
,Clallam,59,0,8,3,48,850,255,534,61,7
,Columbia,7,0,1,0,6,179,42,132,5,0
,Ferry,2,0,0,0,2,25,12,12,1,0
,Garfield,4,0,1,0,3,62,13,47,2,1
,Grant,111,3,7,10,91,"1,472",484,868,120,6
,Grays Harbor,24,2,3,2,17,434,158,240,36,2
,Island,43,1,13,3,26,773,331,426,16,5
,Jefferson,22,0,12,1,9,360,109,236,15,1
,Kittitas,20,1,5,2,12,448,158,266,24,1
,Lewis,58,0,7,1,50,631,237,351,43,2
,Lincoln,8,0,1,1,6,135,43,85,7,2
,Mason,101,0,17,5,79,"1,734",665,900,169,4
,Okanogan,55,2,4,4,45,308,103,181,24,0
,Pacific,13,1,6,1,5,333,163,154,16,1
,Pend Oreille,17,0,1,0,16,411,133,252,26,0
,San Juan,19,1,1,0,17,177,51,112,14,4
,Stevens,26,2,5,2,17,575,226,294,55,0
,Wahkiakum,6,0,0,0,6,12,3,9,0,1
,Walla Walla,25,0,8,2,15,365,90,251,24,3
,Whitman,8,0,0,0,8,58,28,28,2,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,