year,colorado.count,colorado.rate,united-states.count,united-states.rate
2006,18794,395.3820621,1435123,479.3354264
2007,17101,351.7627735,1422970,471.7739346
2008,17480,353.8851242,1394461,458.6141767
2009,17022,338.7632574,1325896,431.8787335
2010,16339,323.6924915,1251248,404.5023483
2011,16085,314.3872273,1206031,387.0597431
2012,15951,307.3731399,1217057,387.7537551
2013,16099,305.3630005,1168298,369.1333693
2014,16487,307.8466828,1153022,361.5538543
2015,17348,318.3809189,1199310,373.7371891
2016,18983,342.6197242,1248185,386.282489