year,washington.count,washington.rate,united-states.count,united-states.rate
2006,22303,348.7133271,1435123,479.3354264
2007,21768,336.5271046,1422970,471.7739346
2008,21888,334.2075336,1394461,458.6141767
2009,22412,336.304685,1325896,431.8787335
2010,21138,313.4829711,1251248,404.5023483
2011,20152,295.3423924,1206031,387.0597431
2012,20553,298.0718221,1217057,387.7537551
2013,20223,289.9877856,1168298,369.1333693
2014,20185,285.7783606,1153022,361.5538543
2015,20505,286.3710827,1199310,373.7371891
2016,22023,302.1816685,1248185,386.282489